Año,Semana,Día,AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,DISTRITO FEDERAL,COAHUILA,COLIMA,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MEXICO,MICHOACAN,MORELOS,NAYARIT,NUEVO LEON,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSI,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATAN,ZACATECAS
2021,1,6,27,118,35,6,10,52,715,76,19,9,187,40,111,203,487,89,54,17,171,54,177,205,24,81,32,132,37,90,42,60,36,17
2021,1,7,54,126,119,5,19,56,1897,182,16,22,306,46,128,319,634,146,217,26,540,246,341,236,49,158,85,251,232,137,96,131,71,57
2021,2,1,41,132,49,5,17,53,1145,176,50,17,304,60,157,290,561,118,224,25,408,110,236,241,50,128,55,193,63,105,66,119,45,31
2021,2,2,131,372,211,40,35,123,6835,432,38,164,884,183,344,709,1970,339,235,79,1189,350,567,652,100,327,157,527,389,346,173,331,137,187
2021,2,3,142,392,277,29,41,113,6754,400,41,180,1069,188,328,753,1951,393,243,59,1169,347,598,479,144,390,156,515,394,313,201,335,183,244
2021,2,4,134,332,267,32,45,132,6679,402,43,150,1085,188,286,857,1913,373,286,57,929,341,659,628,106,393,169,391,345,392,153,314,147,181
2021,2,5,156,345,271,22,58,135,6818,487,69,181,958,187,397,770,1983,298,303,59,1052,332,572,666,119,385,177,402,367,391,164,279,148,215
2021,2,6,149,295,256,40,49,113,6738,445,73,150,989,203,309,923,1914,282,323,69,1023,321,681,608,116,445,185,358,387,397,138,299,150,173
2021,2,7,59,119,109,10,23,56,3943,163,38,28,425,100,187,384,819,109,261,51,523,245,478,289,59,243,102,190,212,194,109,166,69,79
2021,3,1,45,104,62,6,26,47,1353,130,43,31,386,87,152,354,576,89,76,41,337,121,346,237,43,178,61,176,62,152,53,181,56,52
2021,3,2,237,370,254,31,69,121,7464,368,77,166,1263,358,336,1092,2271,344,374,97,1003,390,694,694,112,505,215,495,456,320,217,337,118,196
2021,3,3,187,290,250,24,55,131,6933,452,60,221,1227,323,304,841,2065,404,307,92,1000,263,732,660,174,437,211,329,346,395,178,318,136,158
2021,3,4,156,291,216,44,46,125,6878,368,63,149,1168,233,333,882,2124,362,255,97,879,296,611,635,113,442,192,313,323,358,163,283,103,150
2021,3,5,139,260,226,29,42,92,6636,378,48,165,1221,256,323,702,2095,279,418,88,961,250,631,665,95,433,163,328,326,319,163,354,117,169
2021,3,6,164,250,183,31,42,90,6337,398,52,129,1174,247,259,753,1940,247,382,72,1005,297,585,518,97,428,201,271,312,303,156,321,146,124
2021,3,7,48,91,111,11,15,60,3748,146,41,34,441,93,149,336,848,121,300,63,498,191,443,317,41,270,100,184,175,185,80,200,45,56
2021,4,1,51,82,68,9,29,44,1145,170,32,26,315,87,119,313,622,137,62,44,357,98,264,262,39,226,76,151,44,120,65,175,54,43
2021,4,2,210,313,233,29,52,161,6656,422,62,145,1125,298,269,860,2197,360,387,86,1092,280,697,822,91,523,223,471,443,375,186,352,97,158
2021,4,3,226,210,265,29,34,132,6468,460,74,158,1101,312,269,759,2132,327,423,108,1138,356,646,674,115,564,184,299,355,380,154,353,153,188
2021,4,4,192,211,231,33,42,122,5774,382,88,137,1026,293,257,755,2012,298,547,112,908,261,534,657,100,566,186,286,314,325,184,313,174,158
2021,4,5,187,218,219,29,35,116,5567,403,74,131,1009,265,261,694,1984,274,450,111,859,248,574,661,119,510,188,319,328,313,141,332,127,179
2021,4,6,161,205,260,37,35,95,5592,368,67,127,848,202,263,604,1900,270,466,97,916,229,566,634,129,486,205,279,350,350,137,336,126,140
2021,4,7,70,86,115,16,10,56,3111,140,28,33,437,88,126,306,859,122,467,59,453,138,390,282,110,261,80,167,239,158,77,180,66,73
2021,5,1,53,66,53,12,16,40,1090,123,37,26,292,77,161,293,486,110,52,36,284,114,269,199,37,171,82,92,74,116,62,137,58,31
2021,5,2,207,188,284,43,44,140,5867,371,61,159,993,315,289,772,2089,345,712,101,953,274,582,637,129,572,212,334,417,357,122,331,142,154
2021,5,3,163,240,245,33,50,117,5888,434,41,144,952,224,232,647,1803,294,591,91,921,273,571,636,119,561,184,209,306,315,120,319,148,192
2021,5,4,124,175,211,34,45,108,5078,321,64,114,735,232,277,616,1674,208,490,98,773,251,518,558,87,485,178,212,271,256,146,262,148,170
2021,5,5,132,181,188,23,46,102,4679,354,53,107,848,257,188,529,1528,229,486,79,742,226,443,533,118,408,151,203,245,271,124,248,152,153
2021,5,6,102,119,166,48,56,68,4291,283,61,89,780,227,198,462,1426,174,396,45,558,175,431,382,110,396,140,229,217,187,95,235,112,109
2021,5,7,33,59,64,7,31,52,2410,115,23,11,344,75,119,205,685,83,440,40,382,139,331,226,63,205,72,113,128,108,54,108,36,51
2021,6,1,33,50,42,11,26,39,805,78,15,29,300,89,108,177,454,76,38,28,188,82,218,201,26,110,58,78,48,87,42,110,35,28
2021,6,2,55,60,62,7,24,44,1162,96,31,11,368,76,81,258,436,110,44,23,244,138,245,180,37,187,50,111,173,103,68,130,44,64
2021,6,3,142,168,237,26,35,119,4520,284,65,156,826,264,172,442,1579,208,520,42,558,218,443,432,96,397,135,256,237,187,124,259,163,137
2021,6,4,109,141,214,28,36,96,3950,221,53,115,759,166,154,477,1270,180,435,61,508,218,427,448,77,338,137,204,253,203,113,220,118,144
2021,6,5,99,124,186,17,10,80,3685,217,46,86,740,228,134,349,1132,154,447,39,487,203,371,415,75,299,114,176,217,162,123,191,91,138
2021,6,6,96,102,159,17,25,82,3549,218,59,69,776,175,122,303,1055,131,426,40,407,203,361,367,73,233,115,186,218,163,130,152,73,115
2021,6,7,31,42,70,4,8,46,1936,59,28,17,354,69,78,147,526,83,269,29,224,143,253,212,23,146,60,86,118,63,58,88,35,40
2021,7,1,35,46,44,2,8,34,548,48,19,19,272,43,71,131,329,42,44,20,116,63,152,133,17,81,56,47,23,73,72,87,55,32
2021,7,2,115,146,191,25,22,119,4000,249,61,123,760,178,154,350,1303,137,416,41,514,231,450,386,68,332,174,164,242,181,99,205,126,109
2021,7,3,88,100,148,15,28,91,3125,210,50,89,652,135,120,316,1066,115,181,42,426,175,322,366,62,207,119,154,228,162,81,206,117,127
2021,7,4,81,92,96,27,26,75,3000,158,34,90,511,127,90,304,989,90,238,37,388,216,303,290,43,176,98,185,199,125,71,147,120,106
2021,7,5,89,106,126,12,32,87,2683,150,27,62,448,151,109,302,919,91,105,28,282,163,350,280,41,193,110,141,184,143,72,151,98,101
2021,7,6,54,85,82,19,26,84,2955,126,25,49,459,117,80,278,928,88,79,34,279,170,309,265,31,175,127,109,149,124,95,144,95,83
2021,7,7,18,32,48,4,10,34,1730,43,25,21,181,32,62,90,424,54,56,19,104,113,167,142,39,120,43,67,71,40,33,84,50,45
2021,8,1,21,33,32,7,5,25,518,34,15,24,154,40,54,95,237,46,33,13,63,57,159,115,20,82,43,37,32,26,36,61,42,13
2021,8,2,93,97,104,16,15,62,2995,89,38,81,484,139,92,341,1062,97,242,25,169,189,370,354,65,166,136,126,199,44,72,154,111,115
2021,8,3,75,61,86,10,20,112,2831,138,27,43,426,133,84,247,1017,88,287,24,219,172,301,308,68,139,119,109,170,72,59,144,87,126
2021,8,4,73,50,100,13,16,88,2504,104,26,70,408,97,108,244,876,88,186,27,217,165,259,316,48,158,88,104,155,76,56,135,108,75
2021,8,5,84,57,114,20,28,88,2438,106,24,52,452,97,92,244,907,94,105,26,194,147,283,320,42,168,96,117,138,73,41,134,112,89
2021,8,6,62,48,75,14,15,94,2444,141,29,44,426,89,83,210,844,75,207,31,222,140,270,305,54,152,82,106,147,72,53,107,96,62
2021,8,7,28,32,36,12,7,45,1375,48,13,12,155,40,48,75,391,48,34,11,110,109,183,187,30,71,32,40,65,40,26,54,44,32
2021,9,1,20,23,12,9,7,39,495,38,13,25,115,36,45,77,258,39,34,6,94,60,148,119,18,58,37,45,35,31,20,43,34,17
2021,9,2,98,80,124,31,20,158,3099,122,39,92,505,130,107,283,1061,101,215,26,276,217,331,354,65,168,109,127,205,101,72,148,122,63
2021,9,3,74,61,105,12,16,97,2761,116,18,64,351,100,110,270,883,83,191,33,267,160,344,398,41,157,91,92,141,93,45,125,139,82
2021,9,4,80,72,79,22,19,80,2461,105,27,56,322,97,104,258,830,71,210,32,234,219,262,315,28,148,78,89,143,108,46,106,102,75
2021,9,5,70,64,86,14,13,112,2438,98,19,45,368,101,98,226,778,76,204,36,241,153,301,345,41,148,85,78,155,92,52,100,90,61
2021,9,6,70,64,67,21,15,114,2573,99,26,49,355,100,86,194,828,84,216,18,211,205,295,289,38,128,87,82,117,83,60,107,146,59
2021,9,7,15,24,33,4,3,37,1540,36,12,12,170,37,51,66,342,54,57,10,94,102,203,161,16,87,41,44,61,38,22,60,53,24
2021,10,1,16,24,23,8,4,42,541,34,9,12,111,41,54,78,283,48,56,7,65,53,147,150,22,35,29,40,21,32,18,56,43,14
2021,10,2,95,79,92,25,24,148,3016,111,17,82,392,126,125,268,1109,83,353,25,252,233,358,436,55,214,91,102,214,108,55,154,140,93
2021,10,3,76,77,70,19,17,83,2647,91,17,60,306,117,101,185,869,93,158,24,206,199,257,297,44,175,76,104,136,100,53,94,126,78
2021,10,4,63,69,62,19,28,122,2503,103,22,54,264,108,97,199,843,73,109,12,186,149,278,318,33,148,72,91,154,95,51,99,110,55
2021,10,5,67,68,84,22,14,96,2353,91,18,60,243,104,72,168,713,80,229,16,180,148,280,308,42,123,67,106,143,79,41,113,125,81
2021,10,6,54,61,60,31,18,103,2232,75,12,42,278,94,88,151,743,81,144,25,176,118,230,296,34,115,79,116,177,69,48,110,97,57
