Week,Tot_samples,Coverage,AVG_Copies,Max_Copies,Pos_Samples,x_Pos_Samples,x_Pos_Buildings,WWTP_Copies/L,AVG_Mob,CasesNL
1,0,0,0,0,0,0,0,NaN,,355.5
2,0,0,0,0,0,0,0,NaN,,899
3,0,0,0,0,0,0,0,NaN,-28.28571429,811.8571429
4,0,0,0,0,0,0,0,NaN,-27.78571429,817.5714286
5,0,0,0,0,0,0,0,NaN,-25.28571429,659
6,2,0.047619048,28222.5,56445,1,0.5,0.023809524,0,-26.16666667,373.7142857
7,2,0.047619048,0,0,0,0,0,0,-26.02380952,301.2857143
8,0,0,0,0,0,0,0,464466.2857,-28.61904762,170.5714286
9,8,0.19047619,55904.75,334476,4,0.5,0.095238095,12302.85714,-21.42857143,202.4285714
10,8,0.19047619,7762,42286,4,0.5,0.095238095,202266.6667,-18.5952381,164.8571429
11,8,0.19047619,0,0,0,0,0,13272,-18.14285714,136.7142857
12,8,0.19047619,0,0,0,0,0,5454.47619,-16.45238095,98.14285714
13,8,0.19047619,0,0,0,0,0,6355.047619,-14.80952381,78.57142857
14,6,0.142857143,0,0,0,0,0,4506.666667,-18.47619048,73.28571429
15,8,0.19047619,872.75,6982,1,0.125,0.023809524,6121.904762,-14.54761905,83.28571429
16,8,0.19047619,428.625,3429,1,0.125,0.023809524,5299.047619,-11.76190476,76.85714286
17,8,0.19047619,285.75,2286,1,0.125,0.023809524,13771.42857,-11.69047619,65
18,8,0.19047619,0,0,0,0,0,14201.90476,-9.904761905,61
19,8,0.19047619,0,0,0,0,0,20788.57143,-8.166666667,74.57142857
20,8,0.19047619,951.125,5304,2,0.25,0.047619048,6982.857143,-8.238095238,69.85714286
21,8,0.19047619,1871.5,7844,5,0.625,0.119047619,17249.52381,-6.5,80.57142857
22,9,0.214285714,0,0,0,0,0,0,-4.642857143,91.71428571
23,9,0.214285714,223.4444444,1659,2,0.222222222,0.047619048,0,-3.166666667,91
24,9,0.214285714,0,0,0,0,0,109101.4286,-3.095238095,101.7142857
25,9,0.214285714,0,0,0,0,0,0,-2.976190476,100
26,8,0.19047619,0,0,0,0,0,NaN,-6,126.4285714
27,9,0.214285714,0,0,0,0,0,10617.14286,-3.547619048,190.2857143
28,9,0.214285714,0,0,0,0,0,0,-4.404761905,295.5714286
29,9,0.214285714,0,0,0,0,0,15173.33333,-2,502.5714286
30,9,0.214285714,20386,183474,1,0.111111111,0.023809524,NaN,-3.428571429,717.1428571
31,9,0.214285714,0,0,0,0,0,8404.285714,-3.69047619,986.4285714
32,10,0.238095238,15280.4,147501,2,0.2,0.047619048,5537.142857,-4.476190476,1261.285714
33,25,0.595238095,1136.48,20084,3,0.12,0.071428571,NaN,-5.357142857,1418.142857
34,31,0.738095238,20401.25806,435627,7,0.225806452,0.166666667,16960,-7.119047619,1300.714286
35,33,0.785714286,4512.212121,111493,9,0.272727273,0.214285714,39874.28571,-7.452380952,1072.571429
36,33,0.785714286,2788.363636,75539,5,0.151515152,0.119047619,213887.1429,-5.261904762,837.1428571
37,33,0.785714286,36945.0303,726276,7,0.212121212,0.166666667,131969.5238,-5.928571429,635
38,35,0.833333333,259.5714286,2931,5,0.142857143,0.119047619,4110,-6.19047619,443.8571429
39,36,0.857142857,8679.722222,278379,5,0.138888889,0.119047619,54282.85714,-4.880952381,385
40,36,0.857142857,673.3333333,10496,3,0.083333333,0.071428571,NaN,-2.857142857,335.4285714
41,35,0.833333333,1884.342857,13341,8,0.228571429,0.19047619,NaN,-1.642857143,268.5714286
42,35,0.833333333,491.6571429,14049,2,0.057142857,0.047619048,95468.57143,-1.19047619,245.4285714
43,36,0.857142857,125676.0833,3508551,5,0.138888889,0.119047619,61821.42857,1.452380952,212.2857143
44,37,0.880952381,64960.32432,1438016,16,0.432432432,0.380952381,18282.85714,3.119047619,171.7142857
45,69,1.642857143,1334.043478,43286,6,0.086956522,0.142857143,25238.57143,2.095238095,129.4285714
46,36,0.857142857,110.1111111,2070,2,0.055555556,0.047619048,0,3.714285714,142.8571429
47,35,0.833333333,0,0,0,0,0,0,3.714285714,112
48,35,0.833333333,571.8285714,17327,2,0.057142857,0.047619048,21291.42857,2.547619048,103.7142857
49,35,0.833333333,905.0285714,9587,4,0.114285714,0.095238095,NaN,7.19047619,105.2857143
50,35,0.833333333,2498.2,42017,4,0.114285714,0.095238095,NaN,9.404761905,86
51,0,0,0,0,0,0,0,576424.2857,13.85714286,83
52,0,0,0,0,0,0,0,NaN,4.761904762,98.57142857
53,0,0,0,0,0,0,0,88778.57143,-4.476190476,420.1428571
54,0,0,0,0,0,0,0,399304.2857,-1.047619048,1576.428571
55,34,0.80952381,91640.29412,2164269,13,0.382352941,0.30952381,864090,-3.380952381,4002.285714
56,33,0.785714286,120244.1212,1720474,20,0.606060606,0.476190476,383190,-5.476190476,4193.857143
57,0,0,0,0,0,0,0,160744.2857,-6.19047619,2620.285714
58,0,0,0,0,0,0,0,NaN,0.904761905,1235.285714
59,0,0,0,0,0,0,0,NaN,0.642857143,455.5714286
60,0,0,0,0,0,0,0,NaN,9.214285714,256.2857143
61,0,0,0,0,0,0,0,NaN,6.80952381,148.4285714
62,0,0,0,0,0,0,0,NaN,11.11904762,78.85714286
63,33,0.785714286,15960.0303,319020,11,0.333333333,0.261904762,0,8.952380952,39.71428571
64,37,0.880952381,9422.891892,331916,2,0.054054054,0.047619048,0,11.71428571,39.14285714
65,36,0.857142857,4052.611111,80589,5,0.138888889,0.119047619,0,8.619047619,29
66,34,0.80952381,898.7647059,15279,2,0.058823529,0.047619048,0,14.07142857,22
67,37,0.880952381,122.3513514,1509,3,0.081081081,0.071428571,0,12.76190476,14
68,0,0,0,0,0,0,0,NaN,3.5,10.28571429
69,32,0.761904762,0,0,0,0,0,0,5.571428571,9.428571429
70,36,0.857142857,0,0,0,0,0,0,14.04761905,9
71,30,0.714285714,156,4680,1,0.033333333,0.023809524,0,13.9047619,15.85714286
72,0,0,0,0,0,0,0,0,14.52380952,35.14285714
73,33,0.785714286,1869.575758,14254,6,0.181818182,0.142857143,0,14.11904762,54.14285714
74,33,0.785714286,55226.39394,551897,16,0.484848485,0.380952381,0,10.95238095,131.7142857
75,33,0.785714286,126822.5455,928530,23,0.696969697,0.547619048,0,13.45238095,210
76,33,0.785714286,20689.09091,623511,5,0.151515152,0.119047619,0,12.4047619,345.4285714
77,33,0.785714286,62500.69697,450716,23,0.696969697,0.547619048,0,13.57142857,530.5714286
78,33,0.785714286,8535.878788,32237,10,0.303030303,0.238095238,16094.14286,12.16666667,868.2857143
