Semana,Campus,Ncampus,Edificio,Sitio,Estado,Copias/L
5,Aguascalientes,1,6,LIFE,AGUASCALIENTES,0
7,Aguascalientes,1,6,LIFE,AGUASCALIENTES,134080
8,Aguascalientes,1,1,Colector principal,AGUASCALIENTES,1464762
9,Aguascalientes,1,6,LIFE,AGUASCALIENTES,0
10,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,50667
10,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,24000
10,Aguascalientes,1,6,LIFE,AGUASCALIENTES,21190
11,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,0
11,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,5214
11,Aguascalientes,1,6,LIFE,AGUASCALIENTES,7667
12,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,0
12,Aguascalientes,1,6,LIFE,AGUASCALIENTES,3810
12,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1143
13,Aguascalientes,1,6,LIFE,AGUASCALIENTES,14857
13,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,22857
13,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,0
15,Aguascalientes,1,6,LIFE,AGUASCALIENTES,0
15,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,0
15,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,0
16,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,0
16,Aguascalientes,1,6,LIFE,AGUASCALIENTES,0
16,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,381
17,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,0
17,Aguascalientes,1,6,LIFE,AGUASCALIENTES,0
17,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,0
18,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,0
18,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,2739
18,Aguascalientes,1,6,LIFE,AGUASCALIENTES,0
19,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,0
19,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,1253
19,Aguascalientes,1,6,LIFE,AGUASCALIENTES,0
20,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,0
20,Aguascalientes,1,6,LIFE,AGUASCALIENTES,0
20,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,0
21,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,0
21,Aguascalientes,1,6,LIFE,AGUASCALIENTES,0
21,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,0
22,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,0
22,Aguascalientes,1,6,LIFE,AGUASCALIENTES,0
22,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,0
23,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,0
23,Aguascalientes,1,6,LIFE,AGUASCALIENTES,0
23,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,0
24,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,0
24,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,0
24,Aguascalientes,1,6,LIFE,AGUASCALIENTES,0
25,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,0
25,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,0
