Semana,Campus,Ncampus,Edificio,Sitio,Estado,Nestado,Copias/L
5,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,0
7,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,134080
8,Aguascalientes,1,1,Colector principal,AGUASCALIENTES,1,1464762
9,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,0
10,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,1,50667
10,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1,24000
10,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,21190
11,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,1,0
11,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1,5214
11,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,7667
12,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,1,0
12,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,3810
12,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1,1143
13,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,14857
13,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,1,22857
13,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1,0
15,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,0
15,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1,0
15,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,1,0
16,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1,0
16,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,0
16,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,1,381
17,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1,0
17,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,0
17,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,1,0
18,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1,0
18,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,1,2739
18,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,0
19,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1,0
19,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,1,1253
19,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,0
20,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1,0
20,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,0
20,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,1,0
21,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1,0
21,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,0
21,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,1,0
22,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,1,0
22,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,0
22,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1,0
23,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,1,0
23,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,0
23,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1,0
24,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1,0
24,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,1,0
24,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,0
25,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1,0
25,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,1,0
25,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,0
26,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,0
26,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,1,0
26,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1,0
27,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,0
27,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,1,0
27,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1,0
28,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,0
28,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,1,0
28,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1,0
