Semana,Campus,Ncampus,Edificio,Sitio,Estado,NEstado,Copias_L,CasosSem
5,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,0,116.285714285714
7,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,134080,68.5714285714286
8,Aguascalientes,1,1,Colector principal,AGUASCALIENTES,1,1464762,62.2857142857143
9,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,0,61
10,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,1,50667,55.5714285714286
10,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1,24000,55.5714285714286
10,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,21190,55.5714285714286
11,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,1,0,49.1428571428571
11,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1,5214,49.1428571428571
11,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,7667,49.1428571428571
12,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,1,0,48.1428571428571
12,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,3810,48.1428571428571
12,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1,1143,48.1428571428571
13,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,14857,41.2857142857143
13,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,1,22857,41.2857142857143
13,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1,0,41.2857142857143
15,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,0,40.8571428571429
15,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1,0,40.8571428571429
15,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,1,0,40.8571428571429
16,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1,0,35.2857142857143
16,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,0,35.2857142857143
16,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,1,381,35.2857142857143
17,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1,0,26.2857142857143
17,Aguascalientes,1,6,LIFE,AGUASCALIENTES,1,0,26.2857142857143
17,Aguascalientes,1,5,CEDIAM,AGUASCALIENTES,1,0,26.2857142857143
18,Aguascalientes,1,7,Colector Aulas,AGUASCALIENTES,1,0,25.4285714285714
